"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"wFV7","~","wBMI6",1,1,0.000304082580117153,0.0166505879985478,0.0182625730781204,0.985429384840689,-0.0323304702184514,0.0329386353786857,0.000719615351696496,0.000719615351696496,0.000719615351696496
"wFV7","~","wPA6",1,1,0.0120754077053647,0.00695499725347396,1.7362203413284,0.0825248818964919,-0.00155613642401928,0.0257069518347486,0.0560663744715881,0.0560663744715881,0.0560663744715881
"wFV7","~","wFV6",1,1,0.150103856542991,0.038194881940206,3.92994686507941,8.49646351974709e-05,0.0752432635464276,0.224964449539554,0.148535553367962,0.148535553367962,0.148535553367962
"wBMI1","~~","wPA1",1,1,-0.132811919590981,0.138154577051754,-0.961328407825597,0.336387068630808,-0.403589914911782,0.13796607572982,-0.0377926589007263,-0.0377926589007263,-0.0377926589007263
"wBMI1","~~","wFV1",1,1,0.0167255447554493,0.0299757506092613,0.557969172264258,0.57686543521187,-0.0420258468482573,0.075476936359156,0.0213391181758649,0.0213391181758649,0.0213391181758649
"wPA1","~~","wFV1",1,1,0.0470705537385171,0.0420432623498836,1.11957424585172,0.262895235490071,-0.0353327262598236,0.129473833736858,0.0440161123484382,0.0440161123484382,0.0440161123484382
"wBMI2","~~","wPA2",1,1,-0.0512379549373086,0.0817810226492291,-0.626526219378251,0.53096984482555,-0.211525813948652,0.109049904074035,-0.0229479263599408,-0.0229479263599408,-0.0229479263599408
"wBMI2","~~","wFV2",1,1,-0.00139730923460061,0.0184100335692404,-0.0758993311633741,0.939499188980617,-0.0374803119844852,0.034685693515284,-0.00262071624836801,-0.00262071624836801,-0.00262071624836801
"wPA2","~~","wFV2",1,1,0.00815167452213022,0.0286637535779155,0.284389638641424,0.776111798510972,-0.0480282501523152,0.0643315991965756,0.00849822054486795,0.00849822054486795,0.00849822054486795
"wBMI3","~~","wPA3",1,1,-0.189982599851373,0.0758028325029676,-2.50627309796024,0.0122011340291366,-0.338553421483312,-0.0414117782194348,-0.0921270862005745,-0.0921270862005745,-0.0921270862005745
"wBMI3","~~","wFV3",1,1,0.0243891945135818,0.0168681345386192,1.44587384323639,0.148212589616187,-0.00867174166848791,0.0574501306956516,0.0473393916637186,0.0473393916637186,0.0473393916637186
"wPA3","~~","wFV3",1,1,0.0537253428902423,0.0282459299604421,1.90205608261026,0.0571638231040916,-0.0016356625420651,0.10908634832255,0.0574275006286433,0.0574275006286433,0.0574275006286433
