"lhs","op","rhs","block","group","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"wPA2","~","wBMI1",2,2,-0.103363000756808,0.0568167358440237,-1.8192351112983,0.0688755682548949,-0.214721756730221,0.00799575521660399,-0.0703252690173407,-0.0703252690173407
"wPA2","~","wPA1",2,2,0.467457700886631,0.102021143834954,4.58196882837216,4.60618567799109e-06,0.267499933308541,0.667415468464721,0.407631544139094,0.407631544139094
"wPA2","~","wFV1",2,2,-0.129364741345793,0.212563596201809,-0.608593115930224,0.542794168591535,-0.545981734325654,0.287252251634068,-0.0245652939169331,-0.0245652939169331
"wFV2","~","wBMI1",2,2,0.0106600499633219,0.0151529160273438,0.703498253675107,0.481745294678091,-0.0190391197110317,0.0403592196376756,0.0385415764433167,0.0385415764433167
"wFV2","~","wPA1",2,2,0.000777650651721822,0.0114728183903699,0.0677820065882477,0.945959167478438,-0.021708660194572,0.0232639614980156,0.00360357816342924,0.00360357816342924
"wFV2","~","wFV1",2,2,0.107362538156151,0.0457407286319665,2.34719781182321,0.0189152096492746,0.0177123574108765,0.197012718901425,0.108338483277353,0.108338483277353
"wBMI3","~","wBMI2",2,2,0.425277780220011,0.086716362493906,4.90423915382634,9.37901638131677e-07,0.255316832861636,0.595238727578387,0.472204510954028,0.472204510954028
"wBMI3","~","wPA2",2,2,-0.0219587472592984,0.0230322914601199,-0.953389605082051,0.340392706237337,-0.0671012090025629,0.0231837144839661,-0.040388080282221,-0.040388080282221
"wBMI3","~","wFV2",2,2,0.0026031198752282,0.118855245194091,0.0219015986293016,0.982526449560124,-0.230348880078867,0.235555119829323,0.000900981508895891,0.000900981508895891
"wPA3","~","wBMI2",2,2,-0.0712963569816055,0.074479234183135,-0.957264904285894,0.338433564702933,-0.217272973576675,0.0746802596134636,-0.0523178777942727,-0.0523178777942727
"wPA3","~","wPA2",2,2,0.397273921924474,0.0836593803049756,4.74870744292194,2.04720832708283e-06,0.233304549557783,0.561243294291166,0.482904273972108,0.482904273972108
"wPA3","~","wFV2",2,2,0.0340079526135585,0.183633220469383,0.185194991007788,0.85307609773575,-0.325906545871535,0.393922451098652,0.00777906745194717,0.00777906745194717
"wFV3","~","wBMI2",2,2,-0.0090753103569095,0.0167017088156007,-0.543376157320648,0.586870838328444,-0.041810058115762,0.023659437401943,-0.0306874965355465,-0.0306874965355465
"wFV3","~","wPA2",2,2,0.000512013149775699,0.00885951408228533,0.0577924641261617,0.953913940903903,-0.016852315372029,0.0178763416715804,0.00286793497969504,0.00286793497969504
