"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"wPA7","~","wFV6",-0.067158215529777,0.096836059591258,-0.693524868868578,0.487980224664322,-0.256953404733417,0.122636973673863,-0.0144123226961486,-0.0144123226961486
"wFV7","~","wBMI6",-0.0140259228741348,0.00859233092302492,-1.63237694169221,0.102600103560534,-0.0308665820265135,0.00281473627824383,-0.037951221609682,-0.037951221609682
"wFV7","~","wPA6",0.0105225255037326,0.00512024311342767,2.05508318074539,0.0398709711617409,0.000487033409325145,0.0205580175981401,0.0454502365442865,0.0454502365442865
"wFV7","~","wFV6",0.167227015955783,0.0239615126657481,6.97898410206908,2.97317725994617e-12,0.120263314115816,0.214190717795749,0.163838220098241,0.163838220098241
"wBMI1","~~","wPA1",-0.32531720407386,0.0881676111268582,-3.68975863036352,0.000224466923485656,-0.498122546485435,-0.152511861662285,-0.0975951731164092,-0.0975951731164092
"wBMI1","~~","wFV1",-0.0019304060900414,0.0182188398388174,-0.105956587088956,0.915616796704461,-0.0376386760142269,0.0337778638341441,-0.00261518088659623,-0.00261518088659623
"wPA1","~~","wFV1",0.0529008109105162,0.0232052094553274,2.27969547149989,0.0226257560809848,0.00741943612436628,0.0983821856966662,0.0493002364124668,0.0493002364124668
"wBMI2","~~","wPA2",-0.126427288566879,0.0492408701720851,-2.56752750560755,0.0102426663000812,-0.222937620671578,-0.0299169564621794,-0.055738069248553,-0.055738069248553
"wBMI2","~~","wFV2",-0.00524696152924772,0.0112425557515837,-0.466705404463624,0.64071066256943,-0.0272819658965354,0.01678804283804,-0.0101013817157919,-0.0101013817157919
"wPA2","~~","wFV2",0.0325598396527712,0.0178970552254251,1.81928475062845,0.0688679986659486,-0.00251774401838639,0.0676374233239287,0.0326049852563179,0.0326049852563179
"wBMI3","~~","wPA3",-0.230441695376927,0.0494917785698518,-4.65616112485604,3.2215984631101e-06,-0.327443798904668,-0.133439591849187,-0.111539280875907,-0.111539280875907
"wBMI3","~~","wFV3",0.00769300743281864,0.0104700956815419,0.734759993299864,0.462485675940207,-0.0128280030176918,0.028214017883329,0.0157343516436481,0.0157343516436481
"wPA3","~~","wFV3",0.0455858911368058,0.0168047259493782,2.7126828056659,0.00667409576940647,0.0126492335059589,0.0785225487676528,0.0498570043111853,0.0498570043111853
"wBMI4","~~","wPA4",-0.102822639307556,0.0475295314333748,-2.16334216237097,0.0305148724996447,-0.195978809119035,-0.00966646949607711,-0.0466380479038935,-0.0466380479038935
"wBMI4","~~","wFV4",-0.00473684004413136,0.0112451249531576,-0.421234985281446,0.673583499815877,-0.0267768799539729,0.0173031998657102,-0.0102906830360115,-0.0102906830360115
